title,title_new,Other Occupants,collection,description_old,description_new,narrative,date,date is approximate,date_new,subject,location,location_new,latitude,longitude,donor,publisher - digital,source,identifier,newphoto_filename,object-id,language,rights,rightsstatement,format original,type,format,reference url,cdm-id,instagram_text,hashtags,notes
Alpha Tau Omega House,Pi Kappa Phi Fraternity (2013),Alpha Tau Omega,University of Idaho Student Organizations Collection,Alpha Tau Omega house under construction on the northwest corner of Deakin and Idaho Streets.,2019 photo of the Pi Kappa Phi fraternity on the northwest corner of Deakin and Idaho Streets.,"After receiving its charter in 1925, construction of the Alpha Tau Omega fraternity house was completed in 1928. After eighty years on the University of Idaho campus the Alpha Tau Omega fraternity left its house in the Fall of 2012 due to a significant loss of members. The following year the men of Pi Kappa Phi fraternity leased this house and have occupied it since then. ",1928-08-01,,2019,fraternities; fraternity houses; construction sites,Alpha Tau Omega fraternity house,Pi Kappa Phi Fraternity house,46.727985,-117.007085,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",003_002,new_003_002,pg255,en,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white print,Image;StillImage,image/jpg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/55,55,"Built in 1928, this building was orginally the Alpha Tao Omega fraternity house. 85 years later in 2013 this became the home to the men of Pi Kappa Phi fraternity. Pi Kappa Phi seeks to develop leaders and encourage service, and luckily they have a beautiful and historic house to do it in! ",University of Idaho; UIdaho; Greek life; Idaho Greek life; Alpha Tao Omega; Pi Kappa Phi; Pi Kapp; Pi Kappa Phi Kappa Iota Chapter; Fraternity House; Construction; Then and Now; Past and Present; Black and White,
Delta Chi House,Pi Kappa Alpha Fraternity (2019),Delta Chi; Steelhouse women's living,University of Idaho Student Organizations Collection,Delta Chi house on the southeast corner of University and Elm Streets.,2019 photograph of Pi Kappa Alpha fraternity house on the southeast corner of University and Elm Streets.,"This house was originally the residence of the men of Delta Chi fraternity who left campus in 2012. From 2012 to the Spring of 2019 this building was home to the women of Steel House, which is an on-campus cooperative living group for women. Now, as of Summer of 2019, this building is home to the men of Pi Kappa Alpha fraternity.",1955,yes,2019,fraternities; fraternity houses,Delta Chi Fraternity House,Pi Kappa Alpha Fraternity house,46.726765,-117.008181,Publications Dept. U of I,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",005_004,new_005_004,pg227,en,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,5x4 black and white print,Image;StillImage,image/jpg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/27,27,"Originally the Delta Chi fraternity house, this building has undergone several resident turnovers! From 2012 to 2018 this house belonged to the Steelhouse women's living and as of 2019 will be the Pi Kappa Alpha fraternity house. Pi Kappa Apha is dedicated to developing men of integrity, intellect, and high moral character and to fostering a truly lifelong fraternal experience Welcome to campus!",University of Idaho; Uidaho; Greek life; Delta Chi; Steelhouse; Tau Kappa Epsilon; TIK; Tau Kappa Epsilon Alpha Delta Chapter; Fraternity House; Idaho Greek life,
Delta Gamma House,,,University of Idaho Student Organizations Collection,Delta Gamma house on the northeast corner of Idaho and Elm Streets.,2019 photo of the Delta Gamma sorority house on the northeast corner of Idaho and Elm Streets.,"The Nu chapter of Delta Gamma sorority was founded in 1911, making it one of the oldest sororities on the University of Idaho campus, and in 1914 the women of Delta Gamma moved into their new sorority house. Many years later in 1984 their sorority house was remodelled to include nine new study rooms, new bathrooms, more sleeping space, and more lounging room to accommodate their growing membership.",1923,yes,2019,sororities; sorority houses,Delta Gamma Sorority House,,46.72789,-117.008083,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",007_003,new_007_003,pg238,en,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white print,Image;StillImage,image/jpg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/38,38,"Delta Gamma sorority was founded in 1911, making it one of the oldest sororities on the University of Idaho campus. Though some changes were made to the house to accommodate growing membership, the original foundation, shape, chimney, and other features can still be seen. Check out the Delta Gamma anchor next time you go by!",University of Idaho; Uidaho; Greek life; Idaho Greek life; Delta Gamma; DG; Delta Gamma Sorority; Delta Gamma Nu Chapter; Sorority; Sorority House; Delta Gamma Anchor; Then and Now; Black and White; Past and Present,
Gamma Phi Beta House,,Alpha Kappa Lambda fraternity; Alpha Gamma Delta sorority,University of Idaho Student Organizations Collection,Gamma Phi Beta house at 1038 Blake Avenue.,2019 photo of the Gamma Phi Beta sorority house at 709 Elm Street,"In 1909 the local sorority Alpha Delta Pi received word that they would be chartering as Gamma Phi Beta, thus becoming the first national sorority on the University of Idaho campus. This house was used by Gamma Phi Beta between the years of 1917 and 1958 before this sorority moved elsewhere. Their current sorority house is located at 709 Elm Street and can be recognized by its pink hue.",1935,yes,2019,sororities; sorority houses,Gamma Phi Beta Sorority House,,46.728524,-117.008566,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",009_002,new_009_002,pg251,en,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,5.5x3.5 black and white print,Image;StillImage,image/jpg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/51,51,"The Gamma Phi Beta sorority house has changed quite a bit since this photo was taken in the 1930s, don't you think? In 1910 Gamma Phi Beta officially became the first national sorority to join the University of Idaho.",University of Idaho; Uidaho; Greek life; Idaho Greek life; Gamma Phi Beta; Gamma Phi Beta Sorority; GPhi; Gamma Phi Beta Xi Chapter; Then and Now; Past and Present; Black and White,
Kappa Alpha Theta House,Delta Sigma Phi Fraternity (1969),Kappa Alpha Theta sorority,University of Idaho Student Organizations Collection,Kappa Alpha Theta house on the southwest corner of University and Deakin Avenues.,2019 photo of the Delta Sigma Phi fraternity house on the southwest corner of University and Deakin Avenues.,"Located on the corner of University and Deakin Avenues is a building that looks like a castle. Built in 1926, this building was originally home to the women of Kappa Alpha Theta sorority until they moved to a new house in 1969. That same year the men of Delta Sigma Phi fraternity moved in and have lived there ever since. ",1965,yes,2019,fraternity; fraternity houses,Kappa Alpha Theta Sorority House,Delta Sigma Phi fraternity house,46.726736,-117.007294,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",010_03,new_010_03,pg2121,en,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,6x3.5 black and white print,Image;StillImage,image/jpg,https://digital.lib.uidaho.edu/digital/collection/pg2/id/121/rec/55,121,Have you seen the castle on campus? It actually used to be the Kappa Alpha Theta sorority house and is currently the Delta Sigma Phi fraternity house!,University of Idaho; Uidaho; Greek life; Idaho Greek life; Kappa Alpha Theta; Delta Sigma Phi; Delta Sigma Phi Gamma Iota Chapter; DSig; Delta Sigma Phi Fraternity; DSig Fraternity; Past and Present; Then and Now; Black and White,
Kappa Sigma House,,,University of Idaho Student Organizations Collection (PG2),Kappa Sigma house on the northeast corner of Blake and Sweet Avenues.,2019 photograph of the Kappa Sigma fraternity house on the northeast corner of Blake and Sweet Avenues.,"Established in 1905, the Kappa Sigma fraternity was the first national fraternity at the University of Idaho and their fraternity house, which was built in 1916, has been continuously occupied by the men of this organization since it's construction. This building was finally recognized and added to the National Register of Historic Places in 1996. ",1935,yes,2019,fraternities; fraternity houses; historic houses; National Historic Landmarks,Kappa Sigma Fraternity House,,46.726361,-117.008239,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",012_05,new_012_05,pg275,en,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white film negative,image;stillimage,image/jpg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/75,75,"Greek life is very prominent at the University of Idaho, but did you know that Kappa Sigma Fraternity was the first Greek organization on campus? Shortly after their arrival to UI in 1905 construction of their fraternity house began and was completed in 1916. Now there are a total of 16 fraternities, 10 sororities, and 7 multicultural Greek organizations on our campus.",University of Idaho; Uidaho; Greek life; Idaho Greek life; Kappa Sigma Fraternity; KSig; Kappa Simga Gamma Theta Chapter; Then and now; past and present; black and white; Fraternity House,
Phi Delta Theta House,,,University of Idaho Student Organizations Collection,Phi Delta Theta house under construction on the southeast corner of Elm Street and Idaho Avenue.,2019 photograph of Phi Delta Theta fraternity house on the southeast corner of Elm Street and Idaho Avenue.,"The University of Idaho Phi Delta Theta was established in 1908 after the local Kappa Phi Alpha fraternity, which was established in 1899, was contacted by the national organization.and granted a chapter. This chapter of Phi Delta Theta was only the second national fraternity on the University of Idaho campus. ",1922,yes,2019,fraternities; fraternity houses,Phi Delta Theta Fraternity House,,46.727575,-117.008019,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",014_01,new_014_01,pg282,en,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white print,image;stillimage,image/jpg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/82,82,The Phi Delta Theta fraternity house looks much different today than it did nearly a century ago.,University of Idaho; Uidaho; Grek life; Uidaho Greek life; Phi Delta Theta; Phi Delta Theta Idaho Alpha Chapter; Phi Delt Uidaho; Then and Now; Past and Present; Black and White; Fraternity House,
Pi Beta Phi House,Lambda Chi Alpha Fraternity (2009),Pi Beta Phi sorority; ,University of Idaho Student Organizations Collection,Pi Beta Phi house on the northeast corner of College and Deakin Avenues,2019 photo of the Lambda Chi Alpha fraternity house located on the northeast corner of College and Deakin Avenues,"This building has been home to a number of Greek organizations since its construction in the 1926, but its primary resident has been Lamda Chi Alpha fraternity. The University of Idaho chapter of Lambda Chi Alpha was established in 1927 but was closed between the years of 1946 and 1958, 1985 to 1990, and again from 1998 to 2008. During the house's vacant periods Pi Beta Phi sorority and Alpha Gamma Rho fraternity took residence in the building. Lambda Chi Alpha returned to this residence in 2009. ",1945,yes,2019,fraternities; fraternity houses,Pi Beta Phi Sorority House,Lambda Chi Alpha Fraternity house,46.727885,-117.006657,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",016_03,new_016_03,pg2114,en,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white print,Image;StillImage,image/jpg,https://digital.lib.uidaho.edu/digital/collection/pg2/id/114/rec/48,114,The Lambda Chi Alpha fraternity house has had a lot of turnover! Pi Beta Phi sorority used to occupy this house as did the Alpha Gamma Rho fraternity until Lambda Chi Alpha returned in 2008.,University of Idaho; Uidaho; Greek life; Idaho Greek life; Pi Beta Phi; Lambda Chi Alpha; Lambda Chi Alpha Fraternity; Lambda Chi Alpha Epsilon Gamma Chapter; Lambda Chi Idaho; Then and now; Black and White; Past and Present,
Sigma Chi house,Phi Kappa Tau Fraternity (2012),Sigma Chi fraternity; Pi Beta Phi sorority; Steelhouse women's living,University of Idaho Student Organizations Collection,"Downhill photo of Sigma Chi house, 620 Idaho Avenue. University of Idaho.","2019 angled photo of the Phi Kappa Tau fraternity house, located at 620 Idaho Avenue on the University of Idaho campus.",In 1924 the Gamma Eta chapter of Sigma Chi was established and their fraternity house was built. Sigma Chi eventually moved to their current residence on Nez Perce Drive and the house was later occupied by Pi Beta Phi sorority and eventually Steelhouse women's living between 2009-2012. Phi Kappa Tau fraternity has occupied this residence off and on since it's construction and are the current residents.,1925,yes,2019,fraternities; fraternity houses,Sigma Chi Fraternity House,Phi Kappa Tau Fraternity house,46.727986,-117.009358,,University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,017_05,new_017_05,pg2134,en,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,5.5x3.5 black and white print,image;stillimage,image/jpg,https://digital.lib.uidaho.edu/digital/collection/pg2/id/134/rec/87,134,"Built in 1924, this house has been the home to members of Sigma Chi fraternity, Pi Beta Phi sorority, Steelhouse women's living, and is currently the Phi Kappa Tau fraternity house. ",University of Idaho; Uidaho; Greek life; Idaho Greek life; Fraternity House; Sigma Chi; Phi Kappa Tau; Phi Kappa Tau Beta Gamma Chapter; Phi Tau; Phi Kappa Tau Idaho; Then and Now; Black and White; Past and Prsent,
Group picture of Phi Gamma Deltas outside Phi Gamma Delta house,,,University of Idaho Student Organizations Collection,Members of Phi Gamma Delta pose for a group photograph outside of the Phi Gamma Delta house.,2019 photo of the entrance to the Phi Gamma Delta fraternity house.,"The University of Idaho chapter of Phi Gamma Delta fraternity, also known as FIJI, was established in 1920 and was followed by the construction of their fraternity house in 1926. Taken in the 1930s, this photo shows the men of Phi Gamma Delta during a time when many fraternities were disbanded due to World War II. Despite many wars and setbacks between their founding and now, the University of Idaho Phi Gamma Delta is currently the second oldest continuously operating chapter of this fraternity on the West Coast. Since its construction the fraternity house has undergone many changes including the addition of a new wing and indoor remodelling.",1930,yes,2019,fraternities; fraternity houses; college students; clothing,Phi Gamma Delta Fraternity House,,46.727122,-117.008641,Hodgins Photography Studio,University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,061_1,new_061_1,pg2261,en,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white film negative,image;stillimage,image/jpg,https://digital.lib.uidaho.edu/digital/collection/pg2/id/261/rec/161,261,"Don't be fooled by the seemingly unchanged exterior of the Phi Gamma Delta fraternity house- it has undergone remodelling and additions since being built in 1926. Though their house and and fashion choices have changed, their values of friendship, knowledge, service, morality, and excellence have not! ",University of Idaho; Uidaho; Greek Life; Idaho Greek life; FIJI; Phi Gamma Delta; FIJI Men; Phi Gamma Delta Mu Iota Chapter; Phi Gamma Delta Fraternity; Fraternity House; Then and Now; Black and White; Past and Present,
Roosevelt  shielding his eyes - Theodore Roosevelt 1911 University of Idaho visit,,,University of Idaho Historical Photographs - Theodore Roosevelt Collection,Image shows Roosevelt speaking on platform in front of University of Idaho Administration Building. He is shielding his eyes with his right hand.,2019 angled photo of the front of the new Administration Building,"On April 9th through 11th, 1911, President Theodore ""Teddy"" Roosevelt visited the University of Idaho. While here he gave a speech praising Idaho citizens and the University's motto of ""training of Idaho's future citizens to their highest usefullness in private life and public service."" A tree was planted in Administration Lawn in his honor and still stands today.",1911-04-11,,2019,presidents; speeches (compositions); visits of state; events (activities),Administration Buildng,,46.725621,-117.010723,,"Special Collections and Archives, University of Idaho Library: http://www.lib.uidaho.edu/special-collections/",PG_6-7-8,06-0007-8,new_06-0007-8,spec_uihp400,en,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,Image;StillImage,image/jpg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_uihp/id/400,400,Celebrity on campus! In 1911 President Theodore Roosevelt visited the University of Idaho and gave a speech outside of the Administration Building where crowds of people came to watch. Can you find the tree planted in Admin Lawn during his visit?,University of Idaho; UIdaho; Administration Building; President Roosevelt; Teddy Roosevelt Campus Visit; Theodore Roosevelt; Presidential Visit; President Speech; Black and White; UIdaho History,
Pep Band,,,University of Idaho Student Organizations Collection,"Pep Band (1920 - )  [1931] Leader, William Ames  Photog: Hodgins Foto Service, Moscow  Donor: Gerald Hodgins",Administration lawn where the 1931 pep band once posed for a photo. Art and Architecture and Life Sciences South buildings in background.,"The University of Idaho pep band has been a crucial part of the culture on this campus for more than 100 years. This student organization has grown exponentially and upholds tradition by promoting vandal pride, playing at athletic events, and by leading their fellow vandals in the annual homecoming serpentine event where students march their way from Greek Row to the Kibbie Dome for a homecoming bonfire. ",1931,,2019,bands (ensembles); college students; clothing; ,,,46.726606,-117.011271,,University of Idaho Library,2-108-31,02-108-31,new_02-108-31,spec_uihp360,en,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,Image;StillImage,image/jpg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_uihp/id/360,360,The University of Idaho Pep Band sure has grown since 1931! The outfits and number of participants may have changed over time but the buildings in the background look nearly unchanged.,University of Idaho; Uidaho; Admin Lawn; Pep band: Go Vandals; Student Clubs; Student Life; 1931,
Alpha Chi Omega House,Alpha Kappa Lambda Fraternity (1992),Alpha Chi Omega,University of Idaho Student Organizations Collection,"Alpha Chi Omega house on 701 Nez Perce Drive, with cars on the street.","2019 photo of the Alpha Kappa Lambda fraternity house on 701 Nez Perce Drive, with cars on the street.","This house was originally home to the women of Alpha Chi Omega sorority which joined the University of Idaho campus on May 9th, 1924. Nearly forty years later on October 15th, 1961, these women celebrated the formal dedication of their new, 170,000 dollar, pink brick and white cedar sorority house. Then, in 1988 the Alpha Chi Omega sorority left the University of Idaho due to declining membership and the house acted as an overflow sorority house where members from other chapters could live. A few years later the men of Alpha Kappa Lambda fraternity moved out of their older residence and into this larger and more modern chapter house. ",1961,yes,2019,fraternity; fraternity houses,Alpha Chi Omega sorority house,Alpha Kappa Lambda Fraternity house,46.724119,-117.010431,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",001_004,new_001_004,pg263,en,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,Image;StillImage,image/jpg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/63,63,"Once home to the Alphi Chi Omega sorority, this house now belongs to the men of Alpha Kappa Lambda fraternity. Check out the classic cars!",University of Idaho; Uidaho; Idaho Greek life; Alpha Chi Omega; Alpha Kappa Lambda; AKL; Alpha Kappa Lambda Alpha Phi Chapter; Then and Now; Black and White; Past and Present; Classic Cars,
Delta Tau Delta House,,,University of Idaho Student Organizations Collection,"Formerly General Chrisman's home. Beta Chi's house on 720 Idaho, which became Delta Tau Delta in 1931.",2019 photo of the Delta Tau Delta fraternity house located at 720 Idaho Avenue,"Built in the early 1900s, this building has undergone significant change and resident turnover in the past century. In 1913, a group of men founded the University of Idaho chapter of Alpha Kappa Epsilon, and the following year they took up residency of this modest house. This was only the fifth Greek organization on the U of I campus to seek a residence in which they could live together. The men of Alpha Kappa Epsilon secured a new residence in 1915, and this building later became home to General Chrisman, a professor of Military Sciences. The final resident turnover occurred in 1931 when it became home to the men of Delta Tau Delta fraternity. This building has undergone many renovations since then, including an addition of over 2,500 square feet, a new sprinkler system, roof, and bathroom, a larger kitchen, and more. This plot of land has also become home to many Delta Tau Delta traditions; though not an active tradition anymore, its location at the top of a hill made for a perfect slip and slide during warm weather. The men of Delta Tau Delta still are still at this residence. ",1931,yes,2019,fraternities; fraternity houses; historic houses,Delta Tau Delta fraternity house,,46.728071,-117.010031,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",008_001,new_008_001,pg245,en,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,5.75x3.5 black and white print,Image;StillImage,image/jpg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/45,45,"Situated at the top of a hill and overlooking campus, the Delta Tau Delta fraternity house has undergone significant change since 1931. Nearly 40 years after it's establishment, the Delta Mu chapter of Delta Tau Delta was able to add over 2,500 square feet to their house as well as necessary safety and security systems. ",University of Idaho; UIdaho; Greek life; Idaho Greek Life; Delta Tau Delta; Delt Fraternity; Delta Tau Delta Delta Mu Chapter; Then and Now; Black and White; Past and Present; Renovations,
Phi Gamma Delta House,,,University of Idaho Student Organizations Collection,"Perspective drawing of proposed Phi Gamma Delta house, drawn by Whitehouse and Price, on northwest corner of University Avenue and Elm Street.",2019 photo of the Phi Gamma Delta fraternity house located on the northwest corner of University Avenue and Elm Street.,"The University of Idaho chpater of Phi Gamma Delta fraternity was established in 1920, and in 1924 a sketch of a fraternity house design was proposed. Two years later in 1926 the construction of their house was completed. In the 1960s, after continuous chapter growth, the fraternity house was expanded to include a new wing for rooms. Renovations were conducted again in 2012 on the house's interior after generous donations summing to nearly 1.5 million dollars. The University of Idaho  Phi Gamma Delta is currently the second oldest continuously operating chapter of this fraternity on the West Coast. ",1924,yes,2019,fraternities; fraternity houses,Phi Gamma Delta fraternity house,,46.727132,-117.008493,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",015_01,new_015_01,pg294,en,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,9.25x5.25 black and white print,image;stillimage,image/jpg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/94,94,"Drawn by Whitehouse and Price, this is one of the original proposals from 1924 for the Phi Gamma Delta fraternity house! After continuous growth after it's establishment in 1920, this chapter expaneded the fraternity house in the 1960s to include a new wing for rooms and in 2012 a generous donation of 1.5 million dollars allowed for interior renovations! This chapter has survived many years and is the second oldest continuously operating Phi Gamma Delta chapter on the West Coast.",University of Idaho; UIdaho; Idaho Greek Life; Greek Life; Phi Delta Gamma; FIJI Fraternity; Phi Delta Gamma Mu Iota chapter; Sketch; Fraternity House; Then and Now; Past and Present; Black and White,
"Alpha Gamma Delta house, 1038 Blake Avenue",Alpha Gamma Delta Sorority (1967),,University of Idaho Student Organizations Collection,"Four women stand outside the Alpha Gamma Delta house, located at 1038 Blake Avenue.",2019 photo of the front of the Alpha Gamma Delta sorority house located at 727 Nez Perce Dr ,"Built in 1967, this building was and remains the Alpha Gamma Delta sorority house. Prior to the construction of this building, the women of Alpha Gamma Delta resided in a home which had previously been home to Gamma Phi Beta sorority in the 1930s and Alpha Kappa Lambda fraternity in the 1970s. ",1960,yes,2019,sorority houses; sororities; group portrait; clothing,Alpha Gamma Delta sorority house,,46.723557,-117.01104,,University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,045_03,new_045_03,pg2198,en,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,image;stillimage,image/jpg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/198,198,"Built in 1967, this beautiful house is home to the lovely ladies of Alpha Gamma Delta sorority who seek to inspire women and impact the world. Though fashion has changed since the 1960s, their spirit of compassion is kept alive in their annual philanthropic event to fight hunger! ",University of Idaho; UIdaho; Idaho Greek Life; Alpha Gamma Delta; AGD; Alpha Gamma Delta Delta Theta Chapter; 1960s; Then and Now; Black and White; Past and Present,
Alpha Tau Omega group picture outside Alpha Tau Omega house,Group photo of Alpha Tau Omega members outside of their fraternity house. This house was reestablished as Pi Kappa Phi in 2013. ,Alpha Tau Omega,University of Idaho Student Organizations Collection,Members of Alpha Tau Omega fraternity pose for a group photograph outside of Alpha Tau Omega.,2019 photo of the front of the Pi Kappa Phi fraternity house located on the Northwest corner of Idaho and Deakin Avenues,"After receiving its charter in 1925, construction of the Alpha Tau Omega fraternity house was completed in 1928. After eighty years on the University of Idaho campus the Alpha Tau Omega fraternity left its house in the Fall of 2012 due to a significant loss of members. The following year the men of Pi Kappa Phi fraternity leased this house and have occupied it since then. ",1940,yes,2019,fraternities; fraternity houses; group portrait; college students; clothing,Alpha Tau Omega fraternity house,"Alpha Tau Omega, now Pi Kappa Phi Fraternity house",46.727985,-117.007085,,University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,058_01,new_058_01,pg2258,en,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,8.5x6.5 black and white print,image;stillimage,image/jpg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/258,258,"Once occupied by Alpha Tau Omega fraternity, this house is now home to the men of Pi Kappa Phi! They may be different organizations but both emphasize the importance of leadership and opportunities through Greek life! ",University of Idaho; UIdaho; Greek life; Idaho Greek life; Alpha Tao Omega; Pi Kappa Phi; Pi Kapp; Pi Kappa Phi Kappa Iota Chapter; Fraternity House; Construction; Then and Now; Past and Present; Black and White,
